"","id","season","week","season_type","start_date","neutral_site","conference_game","venue_id","venue","home_id","home_team","home_conference","home_points","away_id","away_team","away_conference","away_points","excitement_index","home_1_pts","home_2_pts","home_3_pts","home_4_pts","away_1_pts","away_2_pts","away_3_pts","away_4_pts","winner","score_difference"
"41",401117859,2019,1,"regular","2019-08-31T19:00:00.000Z",FALSE,FALSE,3806,"Lincoln Financial Field",218,"Temple","American Athletic",56,2083,"Bucknell",NA,12,"1.56120555145595",21,14,7,14,0,9,3,0,"Temple",44
"42",401114233,2019,1,"regular","2019-08-31T19:00:00.000Z",FALSE,FALSE,3765,"Husky Stadium",264,"Washington","Pac-12",47,331,"Eastern Washington",NA,14,"1.22434771461279",21,7,14,5,0,7,0,7,"Washington",33
"43",401117857,2019,1,"regular","2019-08-31T19:30:00.000Z",FALSE,FALSE,3852,"Navy-Marine Corps Memorial Stadium",2426,"Navy","American Athletic",45,107,"Holy Cross",NA,7,"1.82778204538096",10,14,14,7,0,7,0,0,"Navy",38
"44",401110729,2019,1,"regular","2019-08-31T19:30:00.000Z",TRUE,FALSE,3628,"Bank of America Stadium",153,"North Carolina","ACC",24,2579,"South Carolina","SEC",20,"5.99049352164613",3,3,3,15,10,3,7,0,"North Carolina",4
"45",401119256,2019,1,"regular","2019-08-31T19:30:00.000Z",FALSE,FALSE,3654,"Brooks Stadium",324,"Coastal Carolina","Sun Belt",23,2199,"Eastern Michigan","Mid-American",30,"4.52509495832701",10,3,0,10,0,7,16,7,"Eastern Michigan",7
"46",401110720,2019,1,"regular","2019-08-31T19:30:00.000Z",TRUE,FALSE,5348,"Mercedes-Benz Stadium",333,"Alabama","SEC",42,150,"Duke","ACC",3,"2.90320622524523",0,14,21,7,0,3,0,0,"Alabama",39
"47",401112257,2019,1,"regular","2019-08-31T19:30:00.000Z",FALSE,FALSE,3632,"Beaver Stadium",213,"Penn State","Big Ten",79,70,"Idaho",NA,7,"1.60508097105244",20,24,14,21,0,0,0,7,"Penn State",72
"48",401117494,2019,1,"regular","2019-08-31T19:30:00.000Z",FALSE,FALSE,3713,"Falcon Stadium",2005,"Air Force","Mountain West",48,2142,"Colgate",NA,7,"1.35023489851311",7,28,13,0,0,0,7,0,"Air Force",41
"49",401110730,2019,1,"regular","2019-08-31T19:30:00.000Z",FALSE,FALSE,3853,"Neyland Stadium",2633,"Tennessee","SEC",30,2247,"Georgia State","Sun Belt",38,"5.42536858259198",14,3,3,10,7,7,7,17,"Georgia State",8
"50",401121934,2019,1,"regular","2019-08-31T19:30:00.000Z",FALSE,FALSE,3792,"Kidd Brewer Stadium",2026,"Appalachian State","Sun Belt",42,2193,"East Tennessee State",NA,7,"3.09976652485146",7,7,14,14,0,0,7,0,"Appalachian State",35
"51",401110721,2019,1,"regular","2019-08-31T20:00:00.000Z",FALSE,FALSE,3887,"Donald W. Reynolds Razorback Stadium Frank Broyles Field",8,"Arkansas","SEC",20,2502,"Portland State",NA,13,"3.80601969595685",10,0,7,3,3,3,0,7,"Arkansas",7
"52",401112139,2019,1,"regular","2019-08-31T20:00:00.000Z",FALSE,FALSE,3784,"Jones AT&T Stadium",2641,"Texas Tech","Big 12",45,147,"Montana State",NA,10,"2.37365522456761",14,14,3,14,0,7,0,3,"Texas Tech",35
"53",401112435,2019,1,"regular","2019-08-31T20:00:00.000Z",FALSE,TRUE,3615,"Alumni Stadium",103,"Boston College","ACC",35,259,"Virginia Tech","ACC",28,"5.15416974108718",7,21,0,7,7,7,7,7,"Boston College",7
"54",401112245,2019,1,"regular","2019-08-31T20:00:00.000Z",FALSE,FALSE,3940,"Stanford Stadium",24,"Stanford","Pac-12",17,77,"Northwestern","Big Ten",7,"4.78847745394443",0,10,0,7,0,0,0,7,"Stanford",10
"55",401112434,2019,1,"regular","2019-08-31T22:00:00.000Z",FALSE,FALSE,3992,"Williams Stadium",2335,"Liberty","FBS Independents",0,183,"Syracuse","ACC",24,"4.44824144611147",0,0,0,0,3,7,7,7,"Syracuse",24
"56",401114245,2019,1,"regular","2019-08-31T22:00:00.000Z",FALSE,FALSE,3604,"Alamodome",2636,"UT San Antonio","Conference USA",35,2916,"Incarnate Word",NA,7,"2.05709912682524",7,14,7,7,0,7,0,0,"UT San Antonio",28
"57",401121935,2019,1,"regular","2019-08-31T22:00:00.000Z",FALSE,FALSE,3975,"Veterans Memorial Stadium",2653,"Troy","Sun Belt",43,2097,"Campbell",NA,14,"2.52316867378278",17,3,16,7,7,0,0,7,"Troy",29
"58",401117495,2019,1,"regular","2019-08-31T22:00:00.000Z",FALSE,FALSE,3971,"University Stadium",167,"New Mexico","Mountain West",39,2534,"Sam Houston State",NA,31,"5.26047336870662",13,9,10,7,0,16,7,8,"New Mexico",8
"59",401114174,2019,1,"regular","2019-08-31T22:30:00.000Z",FALSE,FALSE,3831,"California Memorial Stadium",25,"California","Pac-12",27,302,"UC Davis",NA,13,"4.47422482537805",0,13,7,7,10,0,3,0,"California",14
"60",401114240,2019,1,"regular","2019-08-31T22:30:00.000Z",FALSE,FALSE,3775,"Joan C. Edwards Stadium",276,"Marshall","Conference USA",56,2678,"VMI",NA,17,"2.56655861885867",14,21,14,7,0,7,0,10,"Marshall",39
"61",401114243,2019,1,"regular","2019-08-31T23:00:00.000Z",FALSE,FALSE,3815,"M. M. Roberts Stadium",2572,"Southern Mississippi","Conference USA",38,2016,"Alcorn State",NA,10,"2.69591277067251",10,3,15,10,0,0,10,0,"Southern Mississippi",28
"62",401114242,2019,1,"regular","2019-08-31T23:00:00.000Z",FALSE,FALSE,3918,"Foreman Field",295,"Old Dominion","Conference USA",24,2450,"Norfolk State",NA,21,"4.25982551650618",14,0,3,7,0,6,0,15,"Old Dominion",3
"63",401112073,2019,1,"regular","2019-08-31T23:00:00.000Z",FALSE,FALSE,4727,"McLane Stadium",239,"Baylor","Big 12",56,2617,"Stephen F. Austin",NA,17,"1.92002522103536",14,21,14,7,7,0,0,10,"Baylor",39
"64",401117858,2019,1,"regular","2019-08-31T23:00:00.000Z",FALSE,FALSE,3625,"Centennial Bank Stadium",2032,"Arkansas State","Sun Belt",30,2567,"SMU","American Athletic",37,"6.61481646660587",7,2,14,7,3,13,14,7,"SMU",7
"65",401119257,2019,1,"regular","2019-08-31T23:00:00.000Z",FALSE,FALSE,3764,"Brigham Field at Huskie Stadium",2459,"Northern Illinois","Mid-American",24,2287,"Illinois State",NA,10,"5.46578861543844",3,0,7,14,0,3,0,7,"Northern Illinois",14
"66",401112106,2019,1,"regular","2019-08-31T23:00:00.000Z",FALSE,FALSE,3636,"Bill Snyder Family Football Stadium",2306,"Kansas State","Big 12",49,2447,"Nicholls",NA,14,"1.06583523295394",14,14,0,21,0,0,7,7,"Kansas State",35
"67",401119258,2019,1,"regular","2019-08-31T23:00:00.000Z",FALSE,FALSE,3980,"Waldo Stadium",2711,"Western Michigan","Mid-American",48,2405,"Monmouth",NA,13,"1.33639787414651",21,10,14,3,0,7,6,0,"Western Michigan",35
"68",401114241,2019,1,"regular","2019-08-31T23:30:00.000Z",FALSE,FALSE,3825,"Apogee Stadium",249,"North Texas","Conference USA",51,2000,"Abilene Christian",NA,31,"1.37189417540454",17,21,10,3,0,10,7,14,"North Texas",20
"69",401110728,2019,1,"regular","2019-08-31T23:30:00.000Z",FALSE,FALSE,3984,"War Memorial Stadium",2751,"Wyoming","Mountain West",37,142,"Missouri","SEC",31,"4.72529582372034",0,27,7,3,14,3,0,14,"Wyoming",6
"70",401110722,2019,1,"regular","2019-08-31T23:30:00.000Z",TRUE,FALSE,3687,"AT&T Stadium",2,"Auburn","SEC",27,2483,"Oregon","Pac-12",21,"6.55754381651177",3,3,7,14,14,0,7,0,"Auburn",6
"71",401112222,2019,1,"regular","2019-08-31T23:30:00.000Z",FALSE,FALSE,3558,"Michigan Stadium",130,"Michigan","Big Ten",40,2393,"Middle Tennessee","Conference USA",21,"3.76140546465531",10,17,6,7,7,7,0,7,"Michigan",19
"72",401110732,2019,1,"regular","2019-08-31T23:30:00.000Z",FALSE,TRUE,3973,"Vanderbilt Stadium",238,"Vanderbilt","SEC",6,61,"Georgia","SEC",30,"1.45088388087627",0,6,0,0,14,7,3,6,"Georgia",24
"73",401110725,2019,1,"regular","2019-08-31T23:30:00.000Z",FALSE,FALSE,3958,"Tiger Stadium",99,"LSU","SEC",55,290,"Georgia Southern","Sun Belt",3,"0.883691910810454",21,21,10,3,0,3,0,0,"LSU",52
"74",401112433,2019,1,"regular","2019-08-31T23:30:00.000Z",FALSE,TRUE,3752,"Heinz Field",221,"Pittsburgh","ACC",14,258,"Virginia","ACC",30,"5.22579363717306",0,14,0,0,10,3,10,7,"Virginia",16
"75",401112191,2019,1,"regular","2019-08-31T23:30:00.000Z",FALSE,FALSE,3793,"Kinnick Stadium",2294,"Iowa","Big Ten",38,193,"Miami (OH)","Mid-American",14,"3.7681263150316",3,7,14,14,0,7,0,7,"Iowa",24
"76",401112135,2019,1,"regular","2019-09-01T00:00:00.000Z",FALSE,FALSE,3910,"Darrell K Royal-Texas Memorial Stadium",251,"Texas","Big 12",45,2348,"Louisiana Tech","Conference USA",14,"1.18761018665532",7,17,14,7,0,0,0,14,"Texas",31
"77",401128468,2019,1,"regular","2019-09-01T00:00:00.000Z",FALSE,FALSE,3817,"Malone Stadium",2433,"Louisiana Monroe","Sun Belt",31,2755,"Grambling",NA,9,"2.6683125621428",7,10,7,7,6,3,0,0,"Louisiana Monroe",22
"78",401112129,2019,1,"regular","2019-09-01T00:00:00.000Z",FALSE,FALSE,3616,"Amon G. Carter Stadium",2628,"TCU","Big 12",39,2029,"Arkansas-Pine Bluff",NA,7,"2.74140393566071",10,6,13,10,0,0,7,0,"TCU",32
